Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
"GAME7","P3-81eb58","Select Category","2025-11-27T12:09:05.689100800Z","Functions",,,,0
"GAME7","P3-81eb58","Select Question","2025-11-27T12:09:07.981576Z","Functions",500,,,0
"GAME7","P3-81eb58","Answer Question","2025-11-27T12:09:10.186375400Z","Functions",500,"d","Incorrect",-500
"GAME7","P3-81eb58","Score Updated","2025-11-27T12:09:10.186375400Z",,,,,-500
"GAME7","P4-5a1b9d","Select Player Turn","2025-11-27T12:09:10.186375400Z",,,,,0
"GAME7","P4-5a1b9d","Select Category","2025-11-27T12:09:11.895368300Z","Control Structures",,,,0
"GAME7","P4-5a1b9d","Select Question","2025-11-27T12:09:13.489939Z","Control Structures",200,,,0
"GAME7","P4-5a1b9d","Answer Question","2025-11-27T12:09:17.455395600Z","Control Structures",200,"a","Incorrect",-200
"GAME7","P4-5a1b9d","Score Updated","2025-11-27T12:09:17.455395600Z",,,,,-200
"GAME7","P1-0d894a","Select Player Turn","2025-11-27T12:09:17.457319700Z",,,,,-100
"GAME7","P1-0d894a","Select Category","2025-11-27T12:09:20.803331600Z","Functions",,,,-100
"GAME7","P1-0d894a","Select Question","2025-11-27T12:09:22.578548100Z","Functions",400,,,-100
"GAME7","P1-0d894a","Answer Question","2025-11-27T12:09:24.884832800Z","Functions",400,"d","Incorrect",-500
"GAME7","P1-0d894a","Score Updated","2025-11-27T12:09:24.884832800Z",,,,,-500
"GAME7","P2-9b29d7","Select Player Turn","2025-11-27T12:09:24.886820600Z",,,,,500
"GAME7","P2-9b29d7","Select Category","2025-11-27T12:09:27.339950100Z","Functions",,,,500
"GAME7","P2-9b29d7","Select Question","2025-11-27T12:09:29.016756500Z","Functions",300,,,500
"GAME7","P2-9b29d7","Answer Question","2025-11-27T12:09:30.978799200Z","Functions",300,"d","Incorrect",200
"GAME7","P2-9b29d7","Score Updated","2025-11-27T12:09:30.978799200Z",,,,,200
"GAME7","P3-81eb58","Select Player Turn","2025-11-27T12:09:30.979819500Z",,,,,-500
"GAME7","P3-81eb58","Select Category","2025-11-27T12:09:32.530577Z","File Handling",,,,-500
"GAME7","P3-81eb58","Select Question","2025-11-27T12:09:33.939868Z","File Handling",500,,,-500
"GAME7","P3-81eb58","Answer Question","2025-11-27T12:09:40.512048100Z","File Handling",500,"c","Correct",0
"GAME7","P3-81eb58","Score Updated","2025-11-27T12:09:40.512048100Z",,,,,0
"GAME7","P4-5a1b9d","Select Player Turn","2025-11-27T12:09:40.513617Z",,,,,-200
"GAME7","P4-5a1b9d","Select Category","2025-11-27T12:09:43.809558300Z","Arrays",,,,-200
"GAME7","P4-5a1b9d","Select Question","2025-11-27T12:09:44.994384Z","Arrays",500,,,-200
"GAME7","P4-5a1b9d","Answer Question","2025-11-27T12:09:50.865485900Z","Arrays",500,"b","Correct",300
"GAME7","P4-5a1b9d","Score Updated","2025-11-27T12:09:50.865485900Z",,,,,300
"GAME7","P1-0d894a","Select Player Turn","2025-11-27T12:09:50.866487300Z",,,,,-500
"GAME7",,"Exit Game","2025-11-27T12:09:55.101658900Z",,,,,
